SPECIES_CODE,SPECIES_NAME,FOREST_ZONE,CF,BCEF_0_20,BCEF_21_30,RTS,Iv_0_20,Iv_21-30,yrl_C_seq_age_0_20,yrl_C_seq_age_21_30
AA,Abies_alba,Central-East Europe,0.51,0.55,0.47,0.39,5.485714285714287,8.328571428571427,2.138852571428572,2.774938414285714
AA,Abies_alba,Central-West Europe,0.51,0.55,0.47,0.39,12.183333333333334,15.450000000000001,4.750220750000001,5.14767735
AA,Abies_alba,North Europe,0.51,0.55,0.47,0.39,2.1399999999999997,6.159999999999999,0.8343752999999999,2.0524072799999997
AA,Abies_alba,South-East Europe,0.51,0.55,0.47,0.39,5.6,6.1,2.183412,2.0324163
AA,Abies_alba,South-West Europe,0.51,0.55,0.47,0.39,8.458333333333334,8.358333333333333,3.297861875000001,2.784854575
AG,Alnus_glutinosa,Central-East Europe,0.48,1.5,1.3,0.42,6.8875,8.2,7.04178,7.265855999999999
AG,Alnus_glutinosa,Central-West Europe,0.48,1.5,1.3,0.42,3.2,4.0,3.2716800000000004,3.5443199999999995
AG,Alnus_glutinosa,North Europe,0.48,1.5,1.3,0.42,3.6666666666666665,5.333333333333333,3.7487999999999997,4.725759999999999
AI,Alnus_incana,North Europe,0.48,1.5,1.3,0.42,5.633333333333333,7.266666666666667,5.759519999999999,6.438847999999999
BT,Betula_pendula,Central-East Europe,0.48,0.65,0.54,0.39,6.0,7.2,2.6020800000000004,2.5940736000000006
BT,Betula_pendula,North Europe,0.48,0.65,0.54,0.39,6.722222222222222,9.014814814814814,2.9152933333333335,3.2479296000000004
BT,Betula_pendula,Central West,0.48,0.65,0.54,0.39,4.5,4.3,1.9515600000000002,1.5492384000000001
CB,Carpinus_betulus,Central-West Europe,0.48,1.5,1.3,0.42,5.983333333333333,5.7,6.117359999999999,5.050656
CB,Carpinus_betulus,South-East Europe,0.48,1.5,1.3,0.42,2.6,4.4,2.65824,3.898752
CB,Carpinus_betulus,South-West Europe,0.48,1.5,1.3,0.42,2.685714285714286,3.5714285714285716,2.7458742857142853,3.1645714285714286
